DateTime,Junction,Vehicles
2016-10-10,Pune Station Road,12
2016-10-11,Pune Station Road,14
2016-10-12,Pune Station Road,17
2016-10-13,Pune Station Road,14
2016-10-14,Pune Station Road,18
2016-10-15,Pune Station Road,17
2016-10-16,Pune Station Road,13
2016-10-17,Pune Station Road,13
2016-10-18,Pune Station Road,18
2016-10-19,Pune Station Road,18
2016-10-20,Pune Station Road,15
2016-10-21,Pune Station Road,18
2016-10-22,Pune Station Road,15
2016-10-23,Pune Station Road,11
2016-10-24,Pune Station Road,10
2016-10-25,Pune Station Road,17
2016-10-26,Pune Station Road,17
2016-10-27,Pune Station Road,21
2016-10-28,Pune Station Road,17
2016-10-29,Pune Station Road,14
2016-10-30,Pune Station Road,10
2016-10-31,Pune Station Road,12
2016-11-01,Pune Station Road,16
2016-11-02,Pune Station Road,18
2016-11-03,Pune Station Road,18
2016-11-04,Pune Station Road,14
2016-11-05,Pune Station Road,10
2016-11-06,Pune Station Road,9
2016-11-07,Pune Station Road,14
2016-11-08,Pune Station Road,21
2016-11-09,Pune Station Road,15
2016-11-10,Pune Station Road,14
2016-11-11,Pune Station Road,16
2016-11-12,Pune Station Road,11
2016-11-13,Pune Station Road,9
2016-11-14,Pune Station Road,13
2016-11-15,Pune Station Road,22
2016-11-16,Pune Station Road,18
2016-11-17,Pune Station Road,16
2016-11-18,Pune Station Road,19
2016-11-19,Pune Station Road,15
2016-11-20,Pune Station Road,14
2016-11-21,Pune Station Road,11
2016-11-22,Pune Station Road,20
2016-11-23,Pune Station Road,18
2016-11-24,Pune Station Road,14
2016-11-25,Pune Station Road,11
2016-11-26,Pune Station Road,13
2016-11-27,Pune Station Road,13
2016-11-28,Pune Station Road,13
2016-11-29,Pune Station Road,20
2016-11-30,Pune Station Road,18
2016-12-01,Pune Station Road,19
2016-12-02,Pune Station Road,16
2016-12-03,Pune Station Road,11
2016-12-04,Pune Station Road,14
2016-12-05,Pune Station Road,14
2016-12-06,Pune Station Road,21
2016-12-07,Pune Station Road,22
2016-12-08,Pune Station Road,17
2016-12-09,Pune Station Road,14
2016-12-10,Pune Station Road,15
2016-12-11,Pune Station Road,13
2016-12-12,Pune Station Road,12
2016-12-13,Pune Station Road,16
2016-12-14,Pune Station Road,14
2016-12-15,Pune Station Road,15
2016-12-16,Pune Station Road,13
2016-12-17,Pune Station Road,14
2016-12-18,Pune Station Road,11
2016-12-19,Pune Station Road,9
2016-12-20,Pune Station Road,10
2016-12-21,Pune Station Road,15
2016-12-22,Pune Station Road,12
2016-12-23,Pune Station Road,10
2016-12-24,Pune Station Road,12
2016-12-25,Pune Station Road,8
2016-12-26,Pune Station Road,5
2016-12-27,Pune Station Road,11
2016-12-28,Pune Station Road,11
2016-12-29,Pune Station Road,11
2016-12-30,Pune Station Road,14
2016-12-31,Pune Station Road,8
2017-01-01,Pune Station Road,9
2017-01-02,Pune Station Road,9
2017-01-03,Pune Station Road,10
2017-01-04,Pune Station Road,11
2017-01-05,Pune Station Road,14
2017-01-06,Pune Station Road,17
2017-01-07,Pune Station Road,14
2017-01-08,Pune Station Road,12
2017-01-09,Pune Station Road,13
2017-01-10,Pune Station Road,15
2017-01-11,Pune Station Road,15
2017-01-12,Pune Station Road,16
2017-01-13,Pune Station Road,19
2017-01-14,Pune Station Road,15
2017-01-15,Pune Station Road,9
2017-01-16,Pune Station Road,12
2017-01-17,Pune Station Road,12
2017-01-18,Pune Station Road,19
2017-01-19,Pune Station Road,15
2017-01-20,Pune Station Road,19
2017-01-21,Pune Station Road,15
2017-01-22,Pune Station Road,12
2017-01-23,Pune Station Road,13
2017-01-24,Pune Station Road,17
2017-01-25,Pune Station Road,16
2017-01-26,Pune Station Road,18
2017-01-27,Pune Station Road,18
2017-01-28,Pune Station Road,12
2017-01-29,Pune Station Road,13
2017-01-30,Pune Station Road,12
2017-01-31,Pune Station Road,20
2017-02-01,Pune Station Road,21
2017-02-02,Pune Station Road,17
2017-02-03,Pune Station Road,22
2017-02-04,Pune Station Road,18
2017-02-05,Pune Station Road,11
2017-02-06,Pune Station Road,16
2017-02-07,Pune Station Road,17
2017-02-08,Pune Station Road,17
2017-02-09,Pune Station Road,22
2017-02-10,Pune Station Road,16
2017-02-11,Pune Station Road,20
2017-02-12,Pune Station Road,16
2017-02-13,Pune Station Road,15
2017-02-14,Pune Station Road,22
2017-02-15,Pune Station Road,21
2017-02-16,Pune Station Road,24
2017-02-17,Pune Station Road,23
2017-02-18,Pune Station Road,19
2017-02-19,Pune Station Road,16
2017-02-20,Pune Station Road,21
2017-02-21,Pune Station Road,22
2017-02-22,Pune Station Road,23
2017-02-23,Pune Station Road,26
2017-02-24,Pune Station Road,30
2017-02-25,Pune Station Road,25
2017-02-26,Pune Station Road,15
2017-02-27,Pune Station Road,19
2017-02-28,Pune Station Road,26
2017-03-01,Pune Station Road,27
2017-03-02,Pune Station Road,24
2017-03-03,Pune Station Road,25
2017-03-04,Pune Station Road,21
2017-03-05,Pune Station Road,18
2017-03-06,Pune Station Road,19
2017-03-07,Pune Station Road,29
2017-03-08,Pune Station Road,26
2017-03-09,Pune Station Road,22
2017-03-10,Pune Station Road,26
2017-03-11,Pune Station Road,20
2017-03-12,Pune Station Road,16
2017-03-13,Pune Station Road,18
2017-03-14,Pune Station Road,19
2017-03-15,Pune Station Road,24
2017-03-16,Pune Station Road,24
2017-03-17,Pune Station Road,28
2017-03-18,Pune Station Road,18
2017-03-19,Pune Station Road,15
2017-03-20,Pune Station Road,23
2017-03-21,Pune Station Road,25
2017-03-22,Pune Station Road,25
2017-03-23,Pune Station Road,29
2017-03-24,Pune Station Road,26
2017-03-25,Pune Station Road,21
2017-03-26,Pune Station Road,18
2017-03-27,Pune Station Road,18
2017-03-28,Pune Station Road,25
2017-03-29,Pune Station Road,25
2017-03-30,Pune Station Road,26
2017-03-31,Pune Station Road,24
2017-04-01,Pune Station Road,28
2017-04-02,Pune Station Road,17
2017-04-03,Pune Station Road,21
2017-04-04,Pune Station Road,28
2017-04-05,Pune Station Road,23
2017-04-06,Pune Station Road,27
2017-04-07,Pune Station Road,26
2017-04-08,Pune Station Road,24
2017-04-09,Pune Station Road,15
2017-04-10,Pune Station Road,17
2017-04-11,Pune Station Road,28
2017-04-12,Pune Station Road,21
2017-04-13,Pune Station Road,23
2017-04-14,Pune Station Road,24
2017-04-15,Pune Station Road,15
2017-04-16,Pune Station Road,16
2017-04-17,Pune Station Road,18
2017-04-18,Pune Station Road,27
2017-04-19,Pune Station Road,32
2017-04-20,Pune Station Road,27
2017-04-21,Pune Station Road,31
2017-04-22,Pune Station Road,25
2017-04-23,Pune Station Road,19
2017-04-24,Pune Station Road,19
2017-04-25,Pune Station Road,29
2017-04-26,Pune Station Road,23
2017-04-27,Pune Station Road,30
2017-04-28,Pune Station Road,26
2017-04-29,Pune Station Road,22
2017-04-30,Pune Station Road,20
2017-05-01,Pune Station Road,24
2017-05-02,Pune Station Road,28
2017-05-03,Pune Station Road,28
2017-05-04,Pune Station Road,28
2017-05-05,Pune Station Road,26
2017-05-06,Pune Station Road,25
2017-05-07,Pune Station Road,17
2017-05-08,Pune Station Road,20
2017-05-09,Pune Station Road,32
2017-05-10,Pune Station Road,27
2017-05-11,Pune Station Road,25
2017-05-12,Pune Station Road,25
2017-05-13,Pune Station Road,26
2017-05-14,Pune Station Road,18
2017-05-15,Pune Station Road,18
2017-05-16,Pune Station Road,26
2017-05-17,Pune Station Road,25
2017-05-18,Pune Station Road,26
2017-05-19,Pune Station Road,29
2017-05-20,Pune Station Road,23
2017-05-21,Pune Station Road,16
2017-05-22,Pune Station Road,23
2017-05-23,Pune Station Road,26
2017-05-24,Pune Station Road,29
2017-05-25,Pune Station Road,29
2017-05-26,Pune Station Road,27
2017-05-27,Pune Station Road,20
2017-05-28,Pune Station Road,17
2017-05-29,Pune Station Road,19
2017-05-30,Pune Station Road,23
2017-05-31,Pune Station Road,26
2017-06-01,Pune Station Road,27
2017-06-02,Pune Station Road,30
2017-06-03,Pune Station Road,25
2017-06-04,Pune Station Road,15
2017-06-05,Pune Station Road,22
2017-06-06,Pune Station Road,28
2017-06-07,Pune Station Road,26
2017-06-08,Pune Station Road,31
2017-06-09,Pune Station Road,25
2017-06-10,Pune Station Road,26
2017-06-11,Pune Station Road,16
2017-06-12,Pune Station Road,16
2017-06-13,Pune Station Road,28
2017-06-14,Pune Station Road,32
2017-06-15,Pune Station Road,29
2017-06-16,Pune Station Road,25
2017-06-17,Pune Station Road,23
2017-06-18,Pune Station Road,14
2017-06-19,Pune Station Road,18
2017-06-20,Pune Station Road,35
2017-06-21,Pune Station Road,31
2017-06-22,Pune Station Road,32
2017-06-23,Pune Station Road,28
2017-06-24,Pune Station Road,24
2017-06-25,Pune Station Road,16
2017-06-26,Pune Station Road,18
2017-06-27,Pune Station Road,31
2017-06-28,Pune Station Road,31
2017-06-29,Pune Station Road,24
